datetime,open,high,low,close,volume
2021-05-20 09:30:00,212.99001,217.09,212.63,217.00999,12683693
2021-05-20 13:30:00,217.02,217.63,215.9201,216.91,4984781
2021-05-21 09:30:00,215.09,215.42999,209.87,210.34,13758922
2021-05-21 13:30:00,210.34,211.47,210.05,211.08,7169297
2021-05-24 09:30:00,210.03,212.00999,208.7,211.46001,5006738
2021-05-24 13:30:00,211.5,211.75,210.02,210.3,2490604
2021-05-25 09:30:00,212.89,214.05,211.63,212.06,8077931
2021-05-25 13:30:00,212.06,212.53999,211.00999,211.07001,4415730
2021-05-26 09:30:00,212.25999,213.75,211.69991,212.11,3268621
2021-05-26 13:30:00,212.14999,212.55,211.53999,211.75999,2076122
2021-05-27 09:30:00,214.17,215.435,212.60001,214.39,8787795
2021-05-27 13:30:00,214.375,214.7601,212.67999,212.765,4503875
2021-05-28 09:30:00,212.55499,214.53,212.06,213.72,4963368
2021-05-28 13:30:00,213.685,214.10001,213.14999,213.97,2611295
2021-06-01 09:30:00,223.075,223.12,218.24001,218.66,15411325
2021-06-01 13:30:00,218.64999,220.99001,218.50999,219.5284,6881380
2021-06-02 09:30:00,219.25999,219.91,217.46001,218.36,7088189
2021-06-02 13:30:00,218.34,219.94,218.3,219.56,2854167
2021-06-03 09:30:00,218.10001,218.66499,216.30499,217.13,6675588
2021-06-03 13:30:00,217.11,217.33,216.33,217.14999,3169432
2021-06-04 09:30:00,218.12,219.07001,217.14999,218.53,4801449
2021-06-04 13:30:00,218.53999,219.0,218.14999,218.99001,2669427
2021-06-07 09:30:00,218.06,218.14,215.7,216.19,747156
2021-06-07 13:30:00,216.2,217.61,216.19,216.91,959967
2021-06-08 09:30:00,217.28999,218.23,214.75,215.94,4775437
2021-06-08 13:30:00,215.96001,216.11,215.14999,215.85001,2371063
2021-06-09 09:30:00,215.08,216.57001,214.55,214.75999,5180787
2021-06-09 13:30:00,214.77139,214.83,213.31,213.32001,3620119
2021-06-10 09:30:00,213.5,214.8,212.21001,213.21001,6592130
2021-06-10 13:30:00,213.23,214.255,212.86,213.05499,3646297
2021-06-11 09:30:00,213.78,213.78,211.07001,211.21001,6759152
2021-06-11 13:30:00,211.2,211.7798,211.0,211.61,3815797
2021-06-14 09:30:00,212.35001,214.845,212.2435,214.845,6855645
2021-06-14 13:30:00,214.83501,215.16499,213.14999,214.0,3328141
2021-06-15 09:30:00,214.47,214.47,209.64,210.42999,7925121
2021-06-15 13:30:00,210.47,210.84261,210.08,210.11,3594717
2021-06-16 09:30:00,209.62,211.62,209.39,209.98,5504412
2021-06-16 13:30:00,209.97,210.49001,208.23,209.35989,4790056
2021-06-17 09:30:00,209.89999,212.3867,209.77,211.49001,6782612
2021-06-17 13:30:00,211.49001,212.49001,211.45,211.67,3693785
2021-06-18 09:30:00,211.92,213.84,210.60921,212.36,8046264
2021-06-18 13:30:00,212.37,212.95,211.25,212.03,3743008
2021-06-21 09:30:00,210.61,211.78,209.0,211.42999,5811887
2021-06-21 13:30:00,211.435,211.56,210.9012,211.06,2669297
2021-06-22 09:30:00,210.42,211.45,209.86,211.17,6424471
2021-06-22 13:30:00,211.17999,211.66,210.92999,211.32001,3394833
2021-06-23 09:30:00,214.02,216.33,213.14999,214.42999,9800717
2021-06-23 13:30:00,214.42,215.52,214.35001,214.89999,2722725
2021-06-24 09:30:00,216.99001,219.58,215.56,218.91,7322051
2021-06-24 13:30:00,218.87,219.13,217.28999,218.32001,3215596
2021-06-25 09:30:00,221.71001,225.05,221.12,224.925,12211913
2021-06-25 13:30:00,224.92,230.2,224.4301,228.50999,8987411
2021-06-28 09:30:00,229.27,230.89,226.75,227.31,8292107
2021-06-28 13:30:00,227.28,230.19,227.162,228.59,4206000
2021-06-29 09:30:00,226.5,229.64,225.60201,228.7399,6350792
2021-06-29 13:30:00,228.75,229.58,228.35001,229.46001,2845089
2021-06-30 09:30:00,226.78999,227.93359,225.7,226.95,5906354
2021-06-30 13:30:00,226.94,226.95,225.91,226.80499,2836009
2021-07-01 09:30:00,228.0,228.78999,221.63,222.19501,8674673
2021-07-01 13:30:00,222.19,222.7299,221.55,221.84,3838726
2021-07-02 09:30:00,218.5,218.5,216.50999,217.83501,8695809
2021-07-02 13:30:00,217.85001,218.28999,217.59,217.75999,3899937
2021-07-06 09:30:00,215.19,215.32001,209.37331,210.2897,17355422
2021-07-06 13:30:00,210.28,211.78,210.0,211.60001,4820473
2021-07-07 09:30:00,211.21001,212.05,208.7635,208.88499,10939523
2021-07-07 13:30:00,208.88,209.80009,207.82001,207.925,6473033
2021-07-08 09:30:00,201.67999,202.27299,198.25999,199.81,23020794
2021-07-08 13:30:00,199.81,201.42999,199.61,200.0,9891981
2021-07-09 09:30:00,202.05,207.0499,201.5,206.25011,11341370
2021-07-09 13:30:00,206.25,207.25,205.85001,206.0,4829843
2021-07-12 09:30:00,203.5,206.455,203.02,206.155,7717585
2021-07-12 13:30:00,206.16,206.38,205.23,205.44,3225243
2021-07-13 09:30:00,209.24001,212.81,208.19,210.8172,12856074
2021-07-13 13:30:00,210.82001,210.82001,209.17,209.50999,4124691
2021-07-14 09:30:00,215.325,216.35001,211.67,211.92999,14615746
2021-07-14 13:30:00,211.98,212.36,211.0376,211.42999,4249302
2021-07-15 09:30:00,214.94,216.60001,213.1606,213.75,10062236
2021-07-15 13:30:00,213.69,215.21719,213.2375,214.66,3714701
2021-07-16 09:30:00,214.535,214.7,211.55,211.91,7055014
2021-07-16 13:30:00,211.89999,212.2,211.46001,212.13,3567212
2021-07-19 09:30:00,206.10001,207.88,203.25,207.34731,10802281
2021-07-19 13:30:00,207.28999,209.08,207.28999,208.92,3890514
2021-07-20 09:30:00,208.99001,210.17999,207.4668,209.155,5713814
2021-07-20 13:30:00,209.17,211.5,209.0238,210.84,2662458
2021-07-21 09:30:00,209.0253,211.85001,208.42,210.94,5266038
2021-07-21 13:30:00,210.96001,211.185,210.36,211.08,1991619
2021-07-22 09:30:00,212.72,216.39,212.7,213.89,7235430
2021-07-22 13:30:00,213.87,214.28999,213.82001,214.03999,2358662
2021-07-23 09:30:00,206.25,206.74001,203.57001,205.41,17904948
2021-07-23 13:30:00,205.39999,206.89,204.78999,206.52499,6312712
2021-07-26 09:30:00,198.3,198.55,190.88,192.60001,39545373
2021-07-26 13:30:00,192.63,193.12,191.31,191.52,13982308
2021-07-27 09:30:00,183.59,186.89999,179.6701,180.32001,43187507
2021-07-27 13:30:00,180.35001,186.35001,180.00999,186.06,15048317
2021-07-28 09:30:00,190.17,196.42,189.8,195.02,24596851
2021-07-28 13:30:00,195.075,198.0,193.575,196.0117,9354174
2021-07-29 09:30:00,200.92999,201.14,194.91,198.91,17509270
2021-07-29 13:30:00,198.91,199.2654,197.42,197.67,5243852
2021-07-30 09:30:00,190.58,196.045,190.53999,194.78,11852341
2021-07-30 13:30:00,194.77,195.48,193.8701,195.17999,4522117
